Files,LevenDistance
kraw_try1.sumprod3b()-kraw_try1.sumprod4b(),2.0
kraw_try1.sumprod1c()-kraw_try1.sumprod4b(),1.0
kraw_try1.sumprod1c()-kraw_try1.sumprod3b(),2.0
kraw_try1.type2a_krawitz()-kraw_try1.sumprod4b(),39.0
kraw_try1.type2a_krawitz()-kraw_try1.sumprod3b(),39.0
kraw_try1.type2a_krawitz()-kraw_try1.sumprod1c(),39.0
kraw_try1.sumprodo()-kraw_try1.sumprod4b(),1.0
kraw_try1.sumprodo()-kraw_try1.sumprod3b(),2.0
kraw_try1.sumprodo()-kraw_try1.sumprod1c(),1.0
kraw_try1.sumprodo()-kraw_try1.type2a_krawitz(),39.0
kraw_try1.sumprod2c()-kraw_try1.sumprod4b(),15.0
kraw_try1.sumprod2c()-kraw_try1.sumprod3b(),15.0
kraw_try1.sumprod2c()-kraw_try1.sumprod1c(),14.0
kraw_try1.sumprod2c()-kraw_try1.sumprodo(),15.0
kraw_try1.sumprod3c()-kraw_try1.sumprod4b(),10.0
kraw_try1.sumprod3c()-kraw_try1.sumprod3b(),11.0
kraw_try1.sumprod3c()-kraw_try1.sumprod1c(),9.0
kraw_try1.sumprod3c()-kraw_try1.type2a_krawitz(),35.0
kraw_try1.sumprod3c()-kraw_try1.sumprodo(),10.0
kraw_try1.sumprod3c()-kraw_try1.sumprod2c(),21.0
kraw_try1.sumprod2a()-kraw_try1.sumprod4b(),3.0
kraw_try1.sumprod2a()-kraw_try1.sumprod3b(),3.0
kraw_try1.sumprod2a()-kraw_try1.sumprod1c(),2.0
kraw_try1.sumprod2a()-kraw_try1.type2a_krawitz(),39.0
kraw_try1.sumprod2a()-kraw_try1.sumprodo(),2.0
kraw_try1.sumprod2a()-kraw_try1.sumprod2c(),15.0
kraw_try1.sumprod2a()-kraw_try1.sumprod3c(),11.0
kraw_try1.sumprod3a()-kraw_try1.sumprod4b(),5.0
kraw_try1.sumprod3a()-kraw_try1.sumprod3b(),6.0
kraw_try1.sumprod3a()-kraw_try1.sumprod1c(),5.0
kraw_try1.sumprod3a()-kraw_try1.type2a_krawitz(),38.0
kraw_try1.sumprod3a()-kraw_try1.sumprodo(),5.0
kraw_try1.sumprod3a()-kraw_try1.sumprod2c(),15.0
kraw_try1.sumprod3a()-kraw_try1.sumprod3c(),10.0
kraw_try1.sumprod3a()-kraw_try1.sumprod2a(),6.0
kraw_try1.foo2()-kraw_try1.foo3(),12.0
kraw_try1.sumprod2d()-kraw_try1.sumprod4b(),3.0
kraw_try1.sumprod2d()-kraw_try1.sumprod3b(),5.0
kraw_try1.sumprod2d()-kraw_try1.sumprod1c(),3.0
kraw_try1.sumprod2d()-kraw_try1.type2a_krawitz(),38.0
kraw_try1.sumprod2d()-kraw_try1.sumprodo(),3.0
kraw_try1.sumprod2d()-kraw_try1.sumprod2c(),15.0
kraw_try1.sumprod2d()-kraw_try1.sumprod3c(),10.0
kraw_try1.sumprod2d()-kraw_try1.sumprod2a(),4.0
kraw_try1.sumprod2d()-kraw_try1.sumprod3a(),7.0
kraw_try1.sumprod4a()-kraw_try1.sumprod4b(),1.0
kraw_try1.sumprod4a()-kraw_try1.sumprod3b(),3.0
kraw_try1.sumprod4a()-kraw_try1.sumprod1c(),1.0
kraw_try1.sumprod4a()-kraw_try1.type2a_krawitz(),39.0
kraw_try1.sumprod4a()-kraw_try1.sumprodo(),1.0
kraw_try1.sumprod4a()-kraw_try1.sumprod2c(),15.0
kraw_try1.sumprod4a()-kraw_try1.sumprod3c(),10.0
kraw_try1.sumprod4a()-kraw_try1.sumprod2a(),2.0
kraw_try1.sumprod4a()-kraw_try1.sumprod3a(),5.0
kraw_try1.sumprod4a()-kraw_try1.sumprod2d(),3.0
kraw_try1.type1a_krawitz()-kraw_try1.sumprod3b(),39.0
kraw_try1.type1a_krawitz()-kraw_try1.sumprod1c(),39.0
kraw_try1.type1a_krawitz()-kraw_try1.type2a_krawitz(),10.0
kraw_try1.type1a_krawitz()-kraw_try1.sumprodo(),39.0
kraw_try1.type1a_krawitz()-kraw_try1.sumprod2c(),34.0
kraw_try1.type1a_krawitz()-kraw_try1.sumprod3c(),36.0
kraw_try1.type1a_krawitz()-kraw_try1.sumprod3a(),38.0
kraw_try1.type1a_krawitz()-kraw_try1.sumprod2d(),39.0
kraw_try1.type1a_krawitz()-kraw_try1.sumprod4a(),39.0
kraw_try1.type4b2_krawitz()-kraw_try1.type4b_krawitz(),23.0
kraw_try1.sumprod2b()-kraw_try1.sumprod4b(),2.0
kraw_try1.sumprod2b()-kraw_try1.sumprod3b(),2.0
kraw_try1.sumprod2b()-kraw_try1.sumprod1c(),3.0
kraw_try1.sumprod2b()-kraw_try1.type2a_krawitz(),39.0
kraw_try1.sumprod2b()-kraw_try1.sumprodo(),3.0
kraw_try1.sumprod2b()-kraw_try1.sumprod2c(),15.0
kraw_try1.sumprod2b()-kraw_try1.sumprod3c(),11.0
kraw_try1.sumprod2b()-kraw_try1.sumprod2a(),0.0
kraw_try1.sumprod2b()-kraw_try1.sumprod3a(),7.0
kraw_try1.sumprod2b()-kraw_try1.sumprod2d(),4.0
kraw_try1.sumprod2b()-kraw_try1.sumprod4a(),3.0
kraw_try1.sumprod2b()-kraw_try1.type1a_krawitz(),39.0
kraw_try1.sumprod4d()-kraw_try1.sumprod4b(),22.0
kraw_try1.sumprod4d()-kraw_try1.sumprod3b(),22.0
kraw_try1.sumprod4d()-kraw_try1.sumprod1c(),22.0
kraw_try1.sumprod4d()-kraw_try1.sumprodo(),22.0
kraw_try1.sumprod4d()-kraw_try1.sumprod2c(),32.0
kraw_try1.sumprod4d()-kraw_try1.sumprod3c(),25.0
kraw_try1.sumprod4d()-kraw_try1.sumprod2a(),23.0
kraw_try1.sumprod4d()-kraw_try1.sumprod3a(),24.0
kraw_try1.sumprod4d()-kraw_try1.sumprod2d(),24.0
kraw_try1.sumprod4d()-kraw_try1.sumprod4a(),22.0
kraw_try1.sumprod4d()-kraw_try1.sumprod2b(),23.0
kraw_try1.type3a_krawitz()-kraw_try1.sumprod4b(),39.0
kraw_try1.type3a_krawitz()-kraw_try1.sumprod3b(),39.0
kraw_try1.type3a_krawitz()-kraw_try1.sumprod1c(),39.0
kraw_try1.type3a_krawitz()-kraw_try1.type2a_krawitz(),0.0
kraw_try1.type3a_krawitz()-kraw_try1.sumprodo(),39.0
kraw_try1.type3a_krawitz()-kraw_try1.sumprod3c(),35.0
kraw_try1.type3a_krawitz()-kraw_try1.sumprod2a(),39.0
kraw_try1.type3a_krawitz()-kraw_try1.sumprod3a(),38.0
kraw_try1.type3a_krawitz()-kraw_try1.sumprod2d(),38.0
kraw_try1.type3a_krawitz()-kraw_try1.sumprod4a(),39.0
kraw_try1.type3a_krawitz()-kraw_try1.type1a_krawitz(),10.0
kraw_try1.type3a_krawitz()-kraw_try1.sumprod2b(),39.0
kraw_try1.foo()-kraw_try1.foo3(),17.0
kraw_try1.foo()-kraw_try1.foo2(),16.0
kraw_try1.sumprod3e()-kraw_try1.sumprod4b(),10.0
kraw_try1.sumprod3e()-kraw_try1.sumprod3b(),11.0
kraw_try1.sumprod3e()-kraw_try1.sumprod1c(),10.0
kraw_try1.sumprod3e()-kraw_try1.type2a_krawitz(),38.0
kraw_try1.sumprod3e()-kraw_try1.sumprodo(),10.0
kraw_try1.sumprod3e()-kraw_try1.sumprod2c(),19.0
kraw_try1.sumprod3e()-kraw_try1.sumprod3c(),15.0
kraw_try1.sumprod3e()-kraw_try1.sumprod2a(),11.0
kraw_try1.sumprod3e()-kraw_try1.sumprod3a(),13.0
kraw_try1.sumprod3e()-kraw_try1.sumprod2d(),11.0
kraw_try1.sumprod3e()-kraw_try1.sumprod4a(),10.0
kraw_try1.sumprod3e()-kraw_try1.type1a_krawitz(),37.0
kraw_try1.sumprod3e()-kraw_try1.sumprod2b(),11.0
kraw_try1.sumprod3e()-kraw_try1.sumprod4d(),30.0
kraw_try1.sumprod3e()-kraw_try1.type3a_krawitz(),38.0
kraw_try1.type1b_krawitz()-kraw_try1.sumprod3b(),39.0
kraw_try1.type1b_krawitz()-kraw_try1.sumprod1c(),39.0
kraw_try1.type1b_krawitz()-kraw_try1.type2a_krawitz(),10.0
kraw_try1.type1b_krawitz()-kraw_try1.sumprodo(),39.0
kraw_try1.type1b_krawitz()-kraw_try1.sumprod2c(),34.0
kraw_try1.type1b_krawitz()-kraw_try1.sumprod3c(),36.0
kraw_try1.type1b_krawitz()-kraw_try1.sumprod3a(),38.0
kraw_try1.type1b_krawitz()-kraw_try1.sumprod2d(),39.0
kraw_try1.type1b_krawitz()-kraw_try1.sumprod4a(),39.0
kraw_try1.type1b_krawitz()-kraw_try1.type1a_krawitz(),0.0
kraw_try1.type1b_krawitz()-kraw_try1.sumprod2b(),39.0
kraw_try1.type1b_krawitz()-kraw_try1.type3a_krawitz(),10.0
kraw_try1.type1b_krawitz()-kraw_try1.sumprod3e(),37.0
kraw_try1.sumprod3d()-kraw_try1.sumprod4b(),6.0
kraw_try1.sumprod3d()-kraw_try1.sumprod3b(),6.0
kraw_try1.sumprod3d()-kraw_try1.sumprod1c(),6.0
kraw_try1.sumprod3d()-kraw_try1.sumprodo(),6.0
kraw_try1.sumprod3d()-kraw_try1.sumprod2c(),15.0
kraw_try1.sumprod3d()-kraw_try1.sumprod3c(),14.0
kraw_try1.sumprod3d()-kraw_try1.sumprod2a(),8.0
kraw_try1.sumprod3d()-kraw_try1.sumprod3a(),10.0
kraw_try1.sumprod3d()-kraw_try1.sumprod2d(),8.0
kraw_try1.sumprod3d()-kraw_try1.sumprod4a(),7.0
kraw_try1.sumprod3d()-kraw_try1.sumprod2b(),8.0
kraw_try1.sumprod3d()-kraw_try1.sumprod4d(),22.0
kraw_try1.sumprod3d()-kraw_try1.sumprod3e(),14.0
kraw_try1.sumprod4c()-kraw_try1.sumprod4b(),10.0
kraw_try1.sumprod4c()-kraw_try1.sumprod3b(),9.0
kraw_try1.sumprod4c()-kraw_try1.sumprod1c(),10.0
kraw_try1.sumprod4c()-kraw_try1.type2a_krawitz(),38.0
kraw_try1.sumprod4c()-kraw_try1.sumprodo(),10.0
kraw_try1.sumprod4c()-kraw_try1.sumprod2c(),15.0
kraw_try1.sumprod4c()-kraw_try1.sumprod3c(),13.0
kraw_try1.sumprod4c()-kraw_try1.sumprod2a(),10.0
kraw_try1.sumprod4c()-kraw_try1.sumprod3a(),10.0
kraw_try1.sumprod4c()-kraw_try1.sumprod2d(),11.0
kraw_try1.sumprod4c()-kraw_try1.sumprod4a(),10.0
kraw_try1.sumprod4c()-kraw_try1.type1a_krawitz(),39.0
kraw_try1.sumprod4c()-kraw_try1.sumprod2b(),10.0
kraw_try1.sumprod4c()-kraw_try1.sumprod4d(),24.0
kraw_try1.sumprod4c()-kraw_try1.type3a_krawitz(),38.0
kraw_try1.sumprod4c()-kraw_try1.sumprod3e(),15.0
kraw_try1.sumprod4c()-kraw_try1.type1b_krawitz(),39.0
kraw_try1.sumprod4c()-kraw_try1.sumprod3d(),6.0
kraw_try1.type3b_krawitz()-kraw_try1.type2a_krawitz(),31.0
kraw_try1.type3b_krawitz()-kraw_try1.type1a_krawitz(),27.0
kraw_try1.type3b_krawitz()-kraw_try1.type3a_krawitz(),30.0
kraw_try1.type3b_krawitz()-kraw_try1.type1b_krawitz(),26.0
kraw_try1.sumprod1a()-kraw_try1.sumprod4b(),1.0
kraw_try1.sumprod1a()-kraw_try1.sumprod3b(),2.0
kraw_try1.sumprod1a()-kraw_try1.sumprod1c(),0.0
kraw_try1.sumprod1a()-kraw_try1.type2a_krawitz(),39.0
kraw_try1.sumprod1a()-kraw_try1.sumprodo(),1.0
kraw_try1.sumprod1a()-kraw_try1.sumprod2c(),15.0
kraw_try1.sumprod1a()-kraw_try1.sumprod3c(),10.0
kraw_try1.sumprod1a()-kraw_try1.sumprod2a(),2.0
kraw_try1.sumprod1a()-kraw_try1.sumprod3a(),4.0
kraw_try1.sumprod1a()-kraw_try1.sumprod2d(),3.0
kraw_try1.sumprod1a()-kraw_try1.sumprod4a(),0.0
kraw_try1.sumprod1a()-kraw_try1.type1a_krawitz(),39.0
kraw_try1.sumprod1a()-kraw_try1.sumprod2b(),3.0
kraw_try1.sumprod1a()-kraw_try1.sumprod4d(),22.0
kraw_try1.sumprod1a()-kraw_try1.type3a_krawitz(),39.0
kraw_try1.sumprod1a()-kraw_try1.sumprod3e(),10.0
kraw_try1.sumprod1a()-kraw_try1.type1b_krawitz(),39.0
kraw_try1.sumprod1a()-kraw_try1.sumprod3d(),6.0
kraw_try1.sumprod1a()-kraw_try1.sumprod4c(),10.0
kraw_try1.sumprod1b()-kraw_try1.sumprod4b(),0.0
kraw_try1.sumprod1b()-kraw_try1.sumprod3b(),2.0
kraw_try1.sumprod1b()-kraw_try1.sumprod1c(),0.0
kraw_try1.sumprod1b()-kraw_try1.type2a_krawitz(),39.0
kraw_try1.sumprod1b()-kraw_try1.sumprodo(),1.0
kraw_try1.sumprod1b()-kraw_try1.sumprod2c(),15.0
kraw_try1.sumprod1b()-kraw_try1.sumprod3c(),10.0
kraw_try1.sumprod1b()-kraw_try1.sumprod2a(),2.0
kraw_try1.sumprod1b()-kraw_try1.sumprod3a(),5.0
kraw_try1.sumprod1b()-kraw_try1.sumprod2d(),3.0
kraw_try1.sumprod1b()-kraw_try1.sumprod4a(),1.0
kraw_try1.sumprod1b()-kraw_try1.type1a_krawitz(),39.0
kraw_try1.sumprod1b()-kraw_try1.sumprod2b(),2.0
kraw_try1.sumprod1b()-kraw_try1.sumprod4d(),22.0
kraw_try1.sumprod1b()-kraw_try1.type3a_krawitz(),39.0
kraw_try1.sumprod1b()-kraw_try1.sumprod3e(),10.0
kraw_try1.sumprod1b()-kraw_try1.type1b_krawitz(),39.0
kraw_try1.sumprod1b()-kraw_try1.sumprod3d(),6.0
kraw_try1.sumprod1b()-kraw_try1.sumprod4c(),10.0
kraw_try1.sumprod1b()-kraw_try1.sumprod1a(),0.0
kraw_try1.type2b_krawitz()-kraw_try1.sumprod3b(),39.0
kraw_try1.type2b_krawitz()-kraw_try1.sumprod1c(),39.0
kraw_try1.type2b_krawitz()-kraw_try1.type2a_krawitz(),11.0
kraw_try1.type2b_krawitz()-kraw_try1.sumprodo(),39.0
kraw_try1.type2b_krawitz()-kraw_try1.sumprod2c(),34.0
kraw_try1.type2b_krawitz()-kraw_try1.sumprod3c(),36.0
kraw_try1.type2b_krawitz()-kraw_try1.sumprod3a(),38.0
kraw_try1.type2b_krawitz()-kraw_try1.sumprod2d(),39.0
kraw_try1.type2b_krawitz()-kraw_try1.sumprod4a(),39.0
kraw_try1.type2b_krawitz()-kraw_try1.type1a_krawitz(),1.0
kraw_try1.type2b_krawitz()-kraw_try1.sumprod2b(),39.0
kraw_try1.type2b_krawitz()-kraw_try1.type3a_krawitz(),11.0
kraw_try1.type2b_krawitz()-kraw_try1.sumprod3e(),37.0
kraw_try1.type2b_krawitz()-kraw_try1.type1b_krawitz(),1.0
kraw_try1.type2b_krawitz()-kraw_try1.sumprod4c(),39.0
kraw_try1.type2b_krawitz()-kraw_try1.type3b_krawitz(),26.0
kraw_try1.type2b_krawitz()-kraw_try1.sumprod1a(),39.0
kraw_try1.type2b_krawitz()-kraw_try1.sumprod1b(),39.0
