"Communication","3343","953","3.51"
"Shopping","1841","697","2.64"
"Social","1611","615","2.62"
"Productivity","1879","809","2.32"
"Business","3876","1716","2.26"
"Lifestyle","3287","1503","2.19"
"Role Playing","178","94","1.89"
"Travel & Local","1988","1053","1.89"
"Transportation","692","376","1.84"
"Medical","586","349","1.68"
"Casino","272","167","1.63"
"Tools","4101","2517","1.63"
"Media & Video","933","641","1.46"
"Word","137","99","1.38"
"Books & Reference","2242","1638","1.37"
"Health & Fitness","876","642","1.36"
"Adventure","142","107","1.33"
"Finance","1353","1016","1.33"
"News & Magazines","1148","904","1.27"
"Photography","435","345","1.26"
"Entertainment","2782","2223","1.25"
"Music & Audio","2335","1890","1.24"
"Personalization","1569","1310","1.2"
"Education","2713","2307","1.18"
"Strategy","149","126","1.18"
"Card","335","288","1.16"
"Music","46","40","1.15"
"Simulation","100","92","1.09"
"Action","249","238","1.05"
"Arcade","693","669","1.04"
"Sports","801","807","0.99"
"Libraries & Demo","62","64","0.97"
"Family","71","74","0.96"
"Casual","612","883","0.69"
"Weather","133","195","0.68"
"Racing","127","203","0.63"
"Puzzle","997","1791","0.56"
"Trivia","71","130","0.55"
"Board","58","122","0.48"
"Comics","55","129","0.43"
"Educational","76","198","0.38"