"Action","android.permission.GET_ACCOUNTS","26"
"Adventure","android.permission.GET_ACCOUNTS","16"
"Arcade","android.permission.GET_ACCOUNTS","67"
"Board","android.permission.GET_ACCOUNTS","8"
"Books & Reference","android.permission.SYSTEM_ALERT_WINDOW","327"
"Business","android.permission.CALL_PHONE","575"
"Card","android.permission.ACCESS_WIFI_STATE","32"
"Casino","android.permission.GET_ACCOUNTS","33"
"Casual","android.permission.GET_ACCOUNTS","66"
"Comics","android.permission.SYSTEM_ALERT_WINDOW","6"
"Communication","android.permission.CALL_PHONE","304"
"Education","android.permission.READ_EXTERNAL_STORAGE","280"
"Educational","android.permission.READ_EXTERNAL_STORAGE","9"
"Entertainment","android.permission.GET_ACCOUNTS","213"
"Family","android.permission.GET_ACCOUNTS","10"
"Finance","android.permission.CALL_PHONE","152"
"Health & Fitness","android.permission.CALL_PHONE","94"
"Libraries & Demo","android.permission.INTERNET","5"
"Lifestyle","android.permission.CALL_PHONE","380"
"Media & Video","android.permission.ACCESS_WIFI_STATE","75"
"Medical","android.permission.CALL_PHONE","68"
"Music","android.permission.SYSTEM_ALERT_WINDOW","6"
"Music & Audio","android.permission.CALL_PHONE","265"
"News & Magazines","android.permission.GET_ACCOUNTS","199"
"Personalization","android.permission.SYSTEM_ALERT_WINDOW","116"
"Photography","android.permission.CAMERA","47"
"Productivity","android.permission.CALL_PHONE","99"
"Puzzle","android.permission.READ_EXTERNAL_STORAGE","109"
"Racing","android.permission.GET_ACCOUNTS","15"
"Role Playing","android.permission.GET_ACCOUNTS","17"
"Shopping","android.permission.GET_ACCOUNTS","230"
"Simulation","android.permission.GET_ACCOUNTS","15"
"Social","android.permission.WRITE_CONTACTS","134"
"Sports","android.permission.GET_ACCOUNTS","79"
"Strategy","android.permission.GET_ACCOUNTS","12"
"Tools","android.permission.SYSTEM_ALERT_WINDOW","201"
"Transportation","android.permission.CALL_PHONE","82"
"Travel & Local","android.permission.CALL_PHONE","247"
"Trivia","android.permission.GET_ACCOUNTS","14"
"Weather","android.permission.GET_ACCOUNTS","13"
"Word","android.permission.READ_EXTERNAL_STORAGE","20"