Group,Genre,UserRating,LowerDownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount
2,Lifestyle,3.1,10000,51,67,6,7874,119,31,14,,,,
2,Finance,4.8,1000,50,503,6,36719,,,,1,,3,
2,Social,4.5,10000,100,1678,16,217579,,,,5,1,5,
2,Books & Reference,4.6,10000,92,822,9,110617,,,,,1,2,
2,Travel & Local,4.7,1000,100,687,6,83571,898,324,135,8,1,2,5
2,Entertainment,3.8,500000,51,100,5111,11548,115,12,6,,2,2,5
2,Education,4,10000,,15,3,922,17,10,5,4,,2,4
2,Entertainment,3.4,10000,0,11,3,316,1,0,0,,,2,
2,Communication,4.5,50000,92,474,6,65268,419,179,56,1,1,,
2,Personalization,4.2,1000,92,1882,9,272116,3346,1898,495,,3,2,6
2,Health & Fitness,3.5,10000,51,62,3660,6891,84,6,3,1,,3,7
2,Medical,3.6,10000,51,810,6,150061,,,,,5,2,
2,Casual,3.5,10000,50,187,6,23980,,,,3,4,2,
2,Lifestyle,4.5,50000,50,1245,5117,120607,1533,590,215,3,2,5,2
2,Finance,4,5000,51,315,6,28053,410,209,88,1,1,,
2,Education,4.3,50000,100,2741,18,271419,,,,,2,2,
2,Entertainment,4.2,10000,51,820,9,92676,1115,396,153,1,2,2,
2,Personalization,4.1,1000,0,12,6,401,6,0,0,,,2,5
2,Health & Fitness,3.5,5000,92,3214,6,361724,6349,4781,740,,2,2,
2,Music & Audio,4.4,1000,100,1016,6,133576,1541,767,236,,4,2,4
2,Lifestyle,4.8,100000,100,3916,12,437049,7280,4569,983,1,2,5,1
2,Comics,4.2,5000,51,61,9,3595,58,44,20,,2,5,5
2,Shopping,4.6,500000,51,2932,12,342061,,,,2,2,3,
2,Books & Reference,3.1,10000,50,5824,24,660123,,,,,6,6,
2,Finance,4.2,50000,51,134,3,12996,187,51,23,,,2,8
2,Casual,4.3,100000,92,3196,15,353859,6463,4634,775,,2,2,
2,Role Playing,4,500000,51,1330,10,121565,2084,827,318,,1,2,12
2,Communication,4.1,10000000,92,663,6,80529,525,127,55,,8,2,
2,Adventure,4.4,10000000,92,5005,18,545058,,,,1,3,5,
2,Casual,3.7,100000,92,1557,9,153952,,,,,11,2,
2,Casual,3.6,10000,0,24,3,5955,,,,,,2,
2,Education,3.7,10000,92,1142,12,136159,1798,697,252,3,1,2,14
2,Personalization,4.4,10000,0,158,6,15316,195,40,18,,,,
2,Music & Audio,4.3,50000,92,3796,24,423968,6870,4370,923,,2,2,
2,Personalization,4.6,1000,92,1882,9,272116,3346,1913,495,,3,2,6
2,Education,4.3,10000,50,321,6,33448,427,206,66,4,2,4,5
2,Puzzle,4.4,1000000,51,791,15796,126766,3317,2515,299,5,5,2,2
2,Business,3.9,1000000,0,22,3,903,390,115,47,,,,4
2,Casino,4.4,100000,50,2484,6,208301,2886,1241,434,,5,2,9
2,Communication,4.5,1000,50,163,3,16599,246,24,11,1,1,2,
2,Books & Reference,4.6,1000000,,250,6,71435,4121,1888,459,,,,
2,Shopping,4.5,1000,50,1977,27,277652,4256,3118,531,6,1,2,10
2,Education,4.4,1000000,92,4797,277706,397427,6569,2748,727,2,3,5,3
2,Arcade,4.1,1000000,50,1068,9,98207,1214,466,175,1,6,2,
2,Photography,4.1,1000000,92,721,6,75560,834,101,44,1,4,2,2
2,Productivity,4.3,10000,51,28,6,2633,37,16,3,,1,,
2,Tools,4.4,10000000,100,4543,569084,547757,7785,3658,1167,15,1,5,
2,Education,3.7,10000,0,42,3,1270,7,0,0,,1,2,1
2,Entertainment,3.9,10000,92,933,3,120245,1197,539,189,2,3,5,18
2,Personalization,4.4,50000,51,59,6,4144,77,24,9,,,3,5
2,Trivia,4,10000,100,954,6,116007,1307,516,199,1,2,5,9
2,Media & Video,4.1,50000,50,699,39,69095,1108,435,182,3,1,5,1
2,Entertainment,3.5,1000,92,1160,6,92659,1607,665,151,,4,3,3
2,Racing,4.3,1000000,92,745,9,76653,947,342,140,,8,,
2,Action,4.5,10000000,,2482,9,204927,2613,1081,409,2,1,,
2,Casual,4.1,1000000,92,1956,12,203486,2810,1250,442,2,5,3,2
2,Entertainment,3.7,100000,100,2675,15,279475,4287,1682,582,3,6,2,3
2,Lifestyle,5,1000,92,2151,12,259623,4560,3240,516,,3,2,1
2,Arcade,4,100000,51,167,9,72979,270,123,34,,1,2,20
2,Education,4.2,10000,51,61,3679,6116,,,,1,,2,
2,Tools,4.4,10000000,,1075,12,145174,176,81,26,,1,,
2,Education,4,10000,0,47,6,4090,95,25,9,,,2,1
2,Role Playing,4.5,1000000,51,479,12,100941,819,378,127,,7,,
2,Tools,4.4,5000,0,191,6,21724,,,,,,2,
2,Entertainment,3.7,10000,51,181,6,16084,,,,1,2,2,
2,Tools,4.1,10000,0,81,4958,13119,78,6,3,,2,2,14
2,Tools,3.6,100000,51,570,6,52906,944,212,86,2,5,2,
2,Travel & Local,3.1,10000,50,1457,103,157568,1935,696,293,3,6,5,2
2,Tools,4,1000,52,836,12,68397,,,,4,2,3,
2,Communication,3.6,10000,50,224,6,22149,317,73,32,10,1,2,
2,Productivity,3.5,1000,51,116,6,12297,185,51,23,1,,2,3
2,Personalization,3.9,1000000,51,328,6,29202,,,,1,1,2,
2,Casino,3.7,5000000,92,2918,15,315824,7449,5734,629,2,3,5,
2,Music & Audio,3.7,1000,51,104,6,9824,131,42,18,3,1,4,
2,Arcade,4.4,1000000,51,1646,12,191872,3903,2655,476,1,1,2,8
2,Communication,4,50000,51,36,3,3689,46,13,6,,,3,
2,Comics,4.7,10000,51,52,6,4854,67,11,5,,,5,14
2,Personalization,4.4,10000,51,1697,3,192878,3234,2352,358,2,1,2,12
2,Board,4.1,5000000,92,1919,6,184628,2138,731,237,,3,3,
2,Puzzle,3.9,10000,92,1068,9,123802,,,,,2,2,
2,Books & Reference,4.6,10000,51,583,9,53313,873,464,159,,1,,
2,Libraries & Demo,4.2,1000,0,7,3,168,718,360,147,,,,
2,Entertainment,4.3,1000,51,446,9,54491,,,,4,2,2,
2,Education,4,10000,51,1309,15,291712,3764,1752,409,,10,2,2
2,Entertainment,3.7,10000,51,627,12,51530,931,206,85,4,,2,1
2,Puzzle,4.1,100000,51,668,6,57629,851,321,132,,2,2,8
2,Personalization,4.2,1000000,50,683,12,48165,850,173,63,8,,3,2
2,Communication,4.1,10000,0,323,42,27739,383,93,39,2,,8,7
2,Business,4.1,50000,52,1980,18,199365,,,,7,3,5,
2,Puzzle,5,1000,50,423,5111,39292,501,133,60,,1,2,6
2,Transportation,4.2,10000,50,221,5038,26884,,,,,,2,
2,Music & Audio,4.2,1000,0,6,3,855,,,,,1,,
2,Lifestyle,4,100000,51,476,6,41894,551,217,91,2,2,3,7
2,Music & Audio,4,10000,92,988,17,111409,923,130,58,2,1,2,1
2,Lifestyle,4.1,50000,100,4893,24,377892,,,,,2,7,
2,Personalization,3.2,1000,0,405,6,34617,,,,2,1,2,
2,Casual,3.5,1000,0,96,6,5441,114,31,11,,1,2,3
2,Transportation,4.7,5000,0,15,3,564,7,2,1,,,2,
2,Sports,4.8,100000,92,2490,12,286339,5093,3400,655,2,3,,2
2,Tools,4.6,10000,0,17,6,2473,3,0,0,,,2,7
2,Tools,4.2,5000,0,30,3,4898,38,30,8,,,,
2,Tools,4.1,100000,51,239,3,20554,,,,4,1,2,
2,Casual,3.6,1000,50,1026,6,85887,1370,458,185,2,1,2,1
2,Shopping,3.8,1000,0,58,6,3023,53,8,4,,1,2,
2,Strategy,3.4,1000,50,639,6,61211,1044,383,158,2,1,2,
2,Entertainment,3.8,1000000,51,1203,9,93455,1581,658,223,,2,2,5
2,Entertainment,4.2,100000,0,333,6,29487,423,213,87,,3,2,
2,Strategy,3.6,1000,51,1152,12,118886,1602,754,299,,9,2,3
2,Casino,4.3,10000000,50,3971,41167,352445,5470,1917,550,2,1,,
2,News & Magazines,3.5,5000,92,575,6,74777,707,269,114,,1,2,8
2,Education,3.8,1000,50,228,6,22027,376,111,42,3,,2,13
2,Lifestyle,3.4,5000,51,93,9,9840,164,38,17,,,,
2,Tools,4.4,500000000,50,552,9,41475,981,368,129,2,,4,
2,Books & Reference,4.6,1000000,92,767,12,77827,990,396,167,3,3,2,11
2,Arcade,3.8,5000,92,1353,12,158878,,,,1,7,2,
2,Tools,3.8,10000,0,12,6,597,10,2,1,,,2,
2,Photography,4.2,5000000,92,343,3,37014,330,23,11,,1,4,2
2,Music & Audio,4.3,50000,92,2013,9,265476,3683,1998,516,1,2,5,2
2,Entertainment,4,1000,0,522,6,45356,625,321,120,,4,,
2,Finance,4.7,1000,51,51,3,7789,,,,,,2,
2,Tools,4.2,1000000,92,1213,91478,255853,2367,1032,303,,,2,3
2,Personalization,4.1,10000,100,2561,6,299580,5014,3394,592,3,2,3,16
2,Tools,4.9,1000,0,16,3,874,7,0,0,,,2,
2,Books & Reference,4.3,100000,51,648,12,52071,,,,,2,5,
2,Books & Reference,4.5,1000,92,722,9,89046,941,411,165,,3,2,
2,Entertainment,4,5000,51,1068,6,96151,1331,582,218,,2,2,12
2,Casual,3.2,10000,51,10,3,410,5,2,1,,,2,
2,Tools,3.9,10000,50,61,3,7556,,,,,,2,
2,Education,4,100000,0,1697,9,191710,2640,1249,428,,6,2,7
2,Education,4.5,1000,92,3539,6,459086,7557,5744,971,1,3,2,21
2,Role Playing,4.2,100000,92,1238,9,123019,1967,750,318,2,7,,
2,Lifestyle,4.4,1000,51,6141,15,624451,11671,6872,1824,1,3,,
2,Adventure,3.8,500000,92,1289,3,130319,,,,2,3,2,
2,Arcade,4,1000,92,1353,12,158878,,,,,7,2,
2,Arcade,4.3,10000000,92,738,1442,90042,921,275,96,1,6,3,4
2,Business,4.1,1000,50,5523,18,649968,8831,5255,1184,1,1,4,
2,Productivity,4.3,10000,0,142,6,9573,127,13,5,1,,2,
2,Word,3.8,1000,92,3644,27,420261,6842,4409,992,,6,2,
2,Sports,4.6,1000,92,2980,45,333564,6148,4544,727,1,2,2,4
2,Productivity,4.3,10000,51,32,6,2120,30,4,2,1,,2,
2,Entertainment,4,10000,0,10,6,535,,,,,,,
2,Communication,4.5,10000,0,6,3,487,,,,,,1,
2,Books & Reference,4.4,100000,92,2796,9,316380,5792,4353,672,1,2,2,5
2,Travel & Local,3,10000,100,4992,19,557628,9390,6392,1248,1,2,,
2,Education,3.6,1000,0,101,3,6819,,,,,1,2,
2,Casual,4,100000,92,2511,9,199613,3098,1532,320,4,3,,
2,Sports,4,10000,51,1298,12,131374,1928,592,211,,9,3,9
2,Personalization,4.4,1000,100,574,9,74667,757,307,128,3,2,2,1
2,Music & Audio,4.1,100000,,978,313355,158673,1156,316,131,,1,,5
2,Arcade,3.6,1000000,92,149,6,14306,259,91,34,,1,2,
2,Tools,4.2,10000,0,15,6,1512,13,4,2,1,,2,5
2,Tools,4.1,5000000,92,1041,9,125465,1496,511,184,,3,2,
2,Productivity,4.5,50000000,50,5179,12,401058,7289,3000,862,37,,6,4
2,Puzzle,4.1,1000000,92,6385,12,714955,11794,6218,1573,8,,2,16
2,Education,4.1,1000,,1911,9,252792,,,,2,1,2,
2,Productivity,4,10000,50,766,9,122869,1198,537,178,3,1,2,
2,Lifestyle,4.3,100000,92,1566,9,212068,3714,2723,468,,3,2,
2,Communication,4.5,1000,100,3797,12,405621,7161,5139,874,,3,2,
2,Arcade,4.3,500000,51,647,6,52786,813,245,95,,6,,
2,Arcade,4.3,100000,51,552,6,46757,779,167,75,4,1,2,
2,Lifestyle,5,1000,92,13,6,1707,,,,5,,2,
2,Educational,3.5,10000,92,423,9,40580,,,,,7,2,
2,Puzzle,3.8,100000,51,1233,5095,136443,2089,676,264,1,4,2,12
2,Puzzle,4.4,5000,92,2540,9,293055,5114,3537,643,,3,2,2
2,Music & Audio,4.5,500000,51,4132,21,463993,6804,3237,1027,8,4,5,16
2,Casual,4.2,1000,51,397,12,38622,483,143,55,,1,2,10
2,Personalization,4.3,10000,100,2560,6,291197,4931,3370,576,5,1,4,11
2,Lifestyle,4,50000,50,1445,9,196459,2053,824,318,2,2,,
2,Puzzle,4,50000,92,4254,15,466955,,,,,9,2,
2,Tools,3.6,1000,51,123,6,12633,193,55,25,,,2,8
2,Libraries & Demo,4.6,1000,51,236,6,20536,398,171,35,,,2,3
2,Family,4.4,100000,92,1472,9,165775,2464,834,299,1,2,2,3
2,Shopping,3.9,5000000,100,5028,15,385186,,,,1,3,5,
2,Finance,4,10000,92,1909,9,233332,,,,,1,2,
2,Tools,3.6,5000000,92,3265,9,274047,4292,2288,483,1,1,2,8
2,Social,4.5,100000,50,5680,29,490276,7271,3013,865,2,5,5,13
2,Books & Reference,4.4,1000,0,24,3,883,32,30,2,,,2,8
2,Education,3.6,1000,51,488,12,43949,745,298,112,,3,2,
2,Books & Reference,3.2,5000,51,1470,12,159867,,,,1,1,5,
2,Education,4.4,1000,92,4757,33,590526,,,,,8,6,
2,Casual,4.3,100000,100,3839,15,420547,,,,1,4,2,
2,Weather,4.1,1000,51,316,6,22941,,,,,4,3,
2,Media & Video,3.3,5000000,51,9,3,218,1,0,0,2,,2,
2,Education,4.1,50000,51,254,6,27161,352,142,55,3,2,2,
2,Productivity,3.4,10000,51,80,6,11166,106,41,17,,,2,
2,Business,4.2,1000,51,28,6,1635,,,,1,,2,
2,Personalization,4.3,10000,0,26,6,3066,59,22,11,,,,
2,News & Magazines,4.3,1000,50,1098,9,124024,,,,3,3,2,
2,Tools,4.6,1000,51,35,3,3348,61,17,7,5,2,2,10
2,Board,4.3,1000,92,1771,6,157967,,,,1,2,2,
2,Personalization,4.2,10000,92,321,6,57144,363,74,31,,3,2,1
2,Communication,4.2,100000000,81,8569,1261302,693654,10330,3810,1078,17,,9,17
2,Arcade,4.2,10000000,92,2706,18,284946,6556,4917,600,2,4,5,
2,Puzzle,3.9,1000000,100,3874,9,373774,5714,2393,713,1,4,2,
2,Entertainment,3.2,10000,51,85,6,8299,98,10,5,1,1,2,25
2,Casual,4.3,1000000,92,1208,12,153333,2071,704,271,,5,2,5
2,Personalization,4,50000,0,6,3,285,1028,437,180,,,3,6
2,Puzzle,3.5,10000,0,59,6,8978,40,6,3,,1,2,6
2,Education,4.7,50000,51,99,4955,9016,130,11,5,,,3,
2,Role Playing,4.1,100000,51,2384,15,233658,3702,1716,559,3,3,5,
2,Personalization,4.2,1000,0,27,3,4260,53,34,9,1,1,2,
2,Entertainment,3.8,100000,51,1176,15,95896,1686,696,198,1,2,5,8
2,Finance,3.6,50000,51,2103,15,215404,,,,,9,5,
2,Tools,4.5,100000,0,96,3,6834,,,,,1,2,
2,Music & Audio,4.1,5000,51,383,9,33180,518,249,92,1,2,2,10
2,Lifestyle,3.3,10000,50,474,6,47585,571,248,105,5,2,5,1
2,Tools,4.3,10000,0,6,3,284,392,141,56,,,,3
2,Finance,3.9,10000,0,15,3,1785,5,0,0,,1,2,
2,Health & Fitness,3.9,5000,51,1005,9,106664,1487,722,233,1,2,2,
2,Music & Audio,4.2,10000000,92,2186,6,248180,3183,1250,495,1,5,5,
2,Education,3.9,100000,50,472,3688,68969,705,240,68,,4,2,9
2,Education,4.2,1000000,92,291,6,50878,470,127,51,1,1,2,
2,Tools,4.5,1000000,92,2038,330543,168784,,,,2,4,2,
2,Tools,4.6,10000,51,426,6,38901,678,322,133,,1,2,8
2,Education,4.1,5000,50,13,6,1707,1,0,0,1,,2,12
2,Arcade,3.9,50000,92,232,9,42301,248,53,22,,1,,
2,Tools,3.9,1000,50,102,5098,9819,107,12,4,1,,,
2,Communication,4.4,100000,0,22,9,1180,17,6,3,,,2,
2,Music & Audio,4.1,5000,92,3252,9,369611,6136,4226,911,2,1,3,
2,Education,3,1000,51,675,6,69716,993,453,162,,,4,2
2,Tools,4.2,1000,100,653,9,84702,860,376,154,3,,2,14
2,Sports,3.8,5000,50,1460,12,161905,2956,1682,541,7,1,2,2
2,Music & Audio,4.1,50000,51,274,6,26121,303,69,29,3,2,4,5
2,Productivity,3.5,5000,50,462,6,41640,548,224,95,2,1,,
2,Education,4.2,1000,51,509,12,58577,,,,1,7,2,
2,Books & Reference,4,1000,51,147,5114,11918,172,48,17,,,2,10
2,Social,3.6,50000000,51,5490,21,481578,2,0,0,3,4,,3
2,Communication,3.9,1000,50,329,6,30064,452,159,66,3,,6,
2,Books & Reference,4.3,1000000,51,2512,21,243824,4066,1557,585,2,3,,
2,Social,4.3,1000000,51,1683,9,194170,2914,1344,421,,5,,
2,Tools,3.8,10000,0,12,6,597,10,2,1,,,2,
2,Sports,4.6,5000000,51,3523,9,333819,4875,2197,741,3,3,,
2,Education,5,1000,51,46,3,3790,23,14,7,2,,2,
2,Communication,3.5,10000,92,471,174893,52314,470,87,24,1,1,2,
2,Tools,3.4,100000,50,897,3,98666,1212,461,193,1,2,2,6
2,Entertainment,4.3,1000,92,4705,30,584313,,,,,6,6,
2,News & Magazines,4.4,1000,50,1156,6,120616,,,,4,1,2,
2,Tools,4,50000,0,35,6,2102,35,20,9,,,,
2,Communication,4.4,5000,50,363,6,29608,429,216,85,8,,2,
2,Action,3.7,5000,51,133,47062,25693,,,,,3,,
2,Productivity,3.7,1000,51,271,6,19996,,,,,1,2,
2,Lifestyle,4.8,5000,0,7,3,161,670,224,88,,,2,39
2,News & Magazines,4.4,1000,50,925,9,105577,,,,8,,5,
2,Books & Reference,4.6,500000,51,1143,3,88889,1591,425,157,,2,3,8
2,Entertainment,4.4,1000,92,710,9,89400,910,396,161,,3,2,9
2,Action,3.9,1000000,92,4016,9,437013,7458,4771,1044,,5,2,15
2,Entertainment,3.8,100000,50,1542,21,195624,2198,724,276,5,4,2,1
2,Tools,3.8,10000,51,57,6,4701,71,12,6,,1,2,11
2,Trivia,4.3,100000,92,1254,6,117924,,,,,4,2,
2,Music & Audio,4.1,1000,51,309,6,22559,,,,,4,3,
2,Education,3.8,10000,92,787,6,90350,920,403,165,,3,42,14
2,Lifestyle,4.3,1000,92,933,6,119612,1210,486,196,,3,2,5
2,Music & Audio,4.2,1000,92,1198,6,208511,2315,1353,282,,2,2,
2,Racing,3.9,500000,51,816,3685,61153,1010,438,140,1,3,2,
2,Tools,4.6,50000,0,48,6,3782,55,13,5,,1,2,2
2,Tools,4.5,10000,0,44,3,2369,49,7,3,1,,2,
2,Weather,4.5,10000,0,9,3,393,3,2,1,,,1,
2,Books & Reference,3.5,1000,51,256,3381,23662,354,123,50,1,1,3,5
2,Media & Video,4.2,1000000,50,2289,27,211981,3434,1482,578,,5,,
2,Business,3.7,1000,51,764,18,89670,1136,701,185,12,1,2,2
2,Education,4.5,1000,0,15,6,693,,,,,1,2,
2,Social,4.8,1000,51,944,6,79662,1172,506,179,,4,18,14
2,Tools,3.6,100000,0,3,3,170,3,0,0,2,1,2,
2,Tools,4.7,1000000,51,639,6,45800,683,378,85,,,2,
2,Productivity,4.4,1000000,51,482,6,54845,,,,1,2,6,
2,Educational,4.4,1000000,51,112,6,8715,192,43,18,,,2,3
2,Productivity,4.3,1000,92,574,6,61049,596,92,39,,2,2,4
2,Lifestyle,4.5,5000000,51,626,3,75873,826,281,111,2,4,9,5
2,Medical,4.5,1000,50,795,12,72930,1074,463,182,4,1,4,
2,Business,4.5,1000,0,21,3,3801,34,17,7,,,2,1
2,Entertainment,4.5,5000000,50,2558,18,198596,3177,811,283,2,2,7,
2,News & Magazines,3.4,5000,92,613,6,76486,866,383,145,,1,2,3
2,Music & Audio,3.5,5000,92,308,6,51039,353,79,35,3,2,4,
2,Productivity,4.2,10000,0,28,3,1570,20,6,2,3,,3,
2,Sports,4.2,50000,92,1939,6,155766,2605,1307,236,3,2,2,5
2,Music & Audio,4.3,5000,92,1558,12,194947,2594,1329,444,2,1,2,4
2,Puzzle,4.2,1000,92,3096,9,348658,6437,4805,767,,5,2,
2,Education,3.2,5000,51,186,3354,15296,210,68,27,,,2,2
2,Travel & Local,4.2,1000,50,172,6,16549,332,91,41,2,1,3,
2,Photography,3.7,10000,50,117,3,12605,166,28,12,,1,4,4
2,Card,3.4,5000,92,454,6,54795,467,74,30,1,1,2,20
2,Puzzle,4.2,5000,51,227,6,22943,,,,,3,2,
2,News & Magazines,3.3,1000,50,1858,12,207942,2765,940,324,8,1,5,3
2,Social,3.8,1000,51,48,6,4716,60,14,6,,1,2,
2,Personalization,3.8,1000,92,663,9,81719,,,,1,7,,
2,Sports,4.4,5000000,51,2001,9,222486,4159,2504,540,,1,2,2
2,Casual,3.9,100000,92,2145,15,257317,4617,3264,531,1,2,3,
2,Arcade,4.5,10000000,100,5877,25,657289,12151,8215,1285,8,1,2,9
2,Arcade,4,50000,85,2206,9,226583,3312,1060,426,4,4,,2
2,Education,4.5,1000,51,257,6,35370,,,,,6,2,
2,Entertainment,4.5,1000,100,1394,12,169168,2130,1119,314,4,1,5,3
2,Weather,3,1000,51,18,3,1068,14,0,0,,,,13
2,Racing,3.6,1000000,100,2883,47924,338662,5239,2823,664,4,5,2,3
2,Entertainment,3.9,100000,52,1547,12,194119,2361,1227,344,13,,,
2,Personalization,4.4,1000,0,17,6,1221,4,0,0,,,,2
2,Entertainment,3.3,1000,51,1177,12,116514,2038,836,271,1,,5,1
2,Tools,4.2,100000,51,100,5095,11673,,,,1,,4,
2,Tools,3.2,50000,51,130,6,10309,,,,,1,2,
2,Business,3.7,10000,51,30,3,1716,41,28,10,1,,2,2
2,Communication,3.9,5000,50,907,15,82556,,,,4,4,8,
2,Personalization,4.3,10000,100,254,3,44080,289,68,29,3,2,2,7
2,Action,4.2,100000,50,2229,15,212266,3514,1489,508,,4,2,
2,Personalization,4.2,5000,0,32,6,2741,28,2,1,1,1,4,2
2,Productivity,4.1,1000000,95,2232,6,265478,4669,3378,585,6,,2,2
2,Transportation,4.8,1000,50,1279,12,158437,1964,937,339,,3,2,
2,Casual,4,10000,50,693,5114,94288,978,298,114,,2,2,6
2,Business,4.2,5000000,92,2022,12,298945,3463,1874,490,,4,2,
2,Casual,4.1,100000,92,874,15,96621,1249,340,135,,6,,
2,Lifestyle,4.4,10000000,100,4545,9,668987,14544,10982,1265,,1,6,
2,Books & Reference,4,10000,51,308,6,39771,569,220,76,2,1,2,22
2,Books & Reference,4.5,10000,50,166,6,19200,280,179,54,4,1,4,
2,News & Magazines,3.5,10000,92,1718,15,171193,2778,1270,426,2,7,5,1
2,Educational,3.9,100000,51,754,6,66792,852,172,72,,9,2,8
2,Books & Reference,4.6,100000,51,270,3,27068,392,141,56,4,1,4,5
2,Card,4.3,1000000,51,1750,9,158533,2421,621,238,1,2,3,
2,Personalization,4.1,100000,92,2617,9,226214,,,,,8,2,
2,Trivia,4.2,1000,51,99,5117,8655,,,,3,1,2,
2,Entertainment,4.7,10000000,92,279,3,49347,305,95,39,,1,4,1
2,Productivity,4.2,10000000,92,840,6,90322,,,,1,2,6,
2,Arcade,4.5,10000000,100,5877,25,657289,12151,8215,1288,8,1,2,8
2,Business,4.2,1000,50,2122,18,263778,,,,2,6,2,
2,Finance,4.3,10000,51,301,6,27059,383,180,70,1,1,2,8
2,Entertainment,3.9,100000,50,1026,9,112557,1320,506,195,,4,2,10
2,Sports,3.3,1000,50,1409,15,112369,1873,807,299,2,3,2,8
2,Media & Video,4.5,10000000,92,1680,6,176905,2497,851,329,,1,,
2,Productivity,4.4,1000,0,465,6,43109,578,243,102,,3,2,3
2,Casual,3.6,50000,92,3136,22,363813,6365,4053,831,2,2,4,
2,Racing,4.2,100000,92,1944,12,176135,3165,1433,385,1,7,3,8
2,Books & Reference,4.2,10000,51,165,6,13970,,,,,2,2,
2,News & Magazines,4.5,1000,51,399,9,38682,713,275,66,,1,2,
2,Tools,4.1,10000,51,245,3,20578,269,16,8,,,2,2
